Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,74,72.333,35,BP99-18,3.3,0.4941,0.0457,0.0186,0.011,0.4258,0.0048
Tierney and Tingley 2015,74.1858,72.189,35,BP99-19,3.3,0.4859,0.0464,0.0213,0.0103,0.4297,0.0064
Tierney and Tingley 2015,74.7317,72.5135,35,BP99-20,3.3,0.4871,0.034,0.0137,0.0082,0.4524,0.0046
Tierney and Tingley 2015,73.996,74.001,35,BP99-25,3.6,0.4646,0.0232,0.0079,0.0067,0.4926,0.0049
Tierney and Tingley 2015,79.761,72.486,35,BP99-31,1.7,0.4764,0.0375,0.015,0.0082,0.457,0.0059
Tierney and Tingley 2015,79.954,73.1345,35,BP99-32,1.7,0.4773,0.0249,0.0099,0.0061,0.4778,0.004
Tierney and Tingley 2015,78.334,74.3008,29,BP99-35,2.4,0.46,0.0202,0.0055,0.0055,0.5034,0.0055
Tierney and Tingley 2015,74.3342,74.3005,35,BP99-37,2.9,0.4788,0.0227,0.0076,0.0065,0.4791,0.0053
Tierney and Tingley 2015,29.5,45.5,27,BS 01E-27,13.3,0.4482,0.0434,0.0254,0.0116,0.4596,0.0118
Tierney and Tingley 2015,32,45,105,BS 02E-105,13.4,0.3918,0.0361,0.0134,0.0053,0.5428,0.0107
Tierney and Tingley 2015,30,44.5,114,BS 04E-114,13.8,0.3767,0.0369,0.0147,0.0061,0.5565,0.0091
Tierney and Tingley 2015,30.5,44,564,BS 05E-564,14.4,0.4058,0.0328,0.015,0.0035,0.5319,0.0109
Tierney and Tingley 2015,35,44.5,335,BS 06E-335,14.8,0.3819,0.0332,0.0175,0.0035,0.5527,0.0111
Tierney and Tingley 2015,34,44,1288,BS 07E-1288,14.2,0.4148,0.0306,0.0141,0.0038,0.529,0.0078
Tierney and Tingley 2015,34,45.5,2129,BS 09E-2129,14.1,0.365,0.0368,0.0218,0.0055,0.5582,0.0128
Tierney and Tingley 2015,14.712,54.621,47,S2  Arkona bas,8.9,0.3462,0.0186,0.0065,0.0035,0.6216,0.0035
Tierney and Tingley 2015,16.712,55.621,66,BS3,8.4,0.4688,0.0233,0.0078,0.0029,0.4936,0.0036
Tierney and Tingley 2015,19.712,57.621,115,S4 Gotland dee,7.8,0.4519,0.018,0.0066,0.0026,0.5173,0.0036
Tierney and Tingley 2015,20.712,57.621,240,S5 Gotland dee,7.8,0.4333,0.0216,0.0072,0.0022,0.5319,0.0037
Tierney and Tingley 2015,20.712,58.621,175,S6 Baltic prop,7.7,0.4062,0.0218,0.0077,0.0021,0.558,0.0042
Tierney and Tingley 2015,21.75,71.721,360,BS625,6.6,0.5419,0.0398,0.0117,0.0053,0.3975,0.0038
Tierney and Tingley 2015,24.048,72.322,264,BS627,5.9,0.5492,0.0329,0.0092,0.0042,0.4016,0.003
Tierney and Tingley 2015,24.251,73,404,BS629,5,0.5574,0.0261,0.0077,0.0037,0.4023,0.0028
Tierney and Tingley 2015,24.46,73.663,451,BS631,5,0.5517,0.0195,0.0057,0.0031,0.4178,0.0023
